Feature,Classifier,Accuracy,Balanced Accuracy score,F1 micro score,F1 macro score,F1 weighted score,MAE,Confusion matrix
combined_data_unweighted_lvl_one_128D,LogisticRegression CV = 5,0.6835680751173709,0.5713391382678269,0.6835680751173709,0.5886615751286488,0.6570721131981541,0.339906103286385,"[[45, 127, 18], [18, 498, 46], [7, 121, 185]]"
combined_data_unweighted_lvl_one_128D,LogisticRegression CV = 10,0.6835680751173709,0.5666940736489844,0.6835680751173709,0.5823154339750084,0.6539124486873962,0.339906103286385,"[[41, 131, 18], [12, 502, 48], [7, 121, 185]]"
combined_data_unweighted_lvl_one_128D,GradientBoostingClassifier,0.6807511737089202,0.5853456620870676,0.6807511737089202,0.6060098158079655,0.6622755776702164,0.3455399061032864,"[[59, 114, 17], [20, 482, 60], [11, 118, 184]]"
combined_data_unweighted_lvl_one_128D,SVC ovo,0.6985915492957746,0.5847480143401947,0.6985915492957746,0.6081151049363623,0.6720974409135964,0.3220657276995305,"[[50, 124, 16], [10, 513, 39], [6, 126, 181]]"
combined_data_unweighted_lvl_one_64D,LogisticRegression CV = 5,0.6873239436619718,0.5649300134581449,0.6873239436619718,0.5767738107654886,0.6542449232340827,0.3333333333333333,"[[35, 137, 18], [15, 506, 41], [4, 118, 191]]"
combined_data_unweighted_lvl_one_64D,LogisticRegression CV = 10,0.6873239436619718,0.5623532185551254,0.6873239436619718,0.5745231714870669,0.6527322921921552,0.3314553990610329,"[[34, 139, 17], [13, 510, 39], [3, 122, 188]]"
combined_data_unweighted_lvl_one_64D,GradientBoostingClassifier,0.676056338028169,0.5781701590622265,0.676056338028169,0.5964873097052535,0.6570636027290329,0.355868544600939,"[[57, 112, 21], [28, 483, 51], [13, 120, 180]]"
combined_data_unweighted_lvl_one_64D,SVC ovo,0.7023474178403756,0.5883184420068055,0.7023474178403756,0.6092063119431869,0.6756494466793338,0.3248826291079812,"[[49, 118, 23], [12, 513, 37], [6, 121, 186]]"
combined_data_weighted_lvl_one_128D,LogisticRegression CV = 5,0.676056338028169,0.5818348555777697,0.676056338028169,0.6043533918533918,0.6581759495139776,0.3483568075117371,"[[63, 111, 16], [25, 484, 53], [10, 130, 173]]"
combined_data_weighted_lvl_one_128D,LogisticRegression CV = 10,0.672300469483568,0.5813497480013748,0.672300469483568,0.6017920727947058,0.6557426332906227,0.35492957746478876,"[[63, 109, 18], [28, 476, 58], [11, 125, 177]]"
combined_data_weighted_lvl_one_128D,GradientBoostingClassifier,0.6685446009389672,0.5767989522314649,0.6685446009389672,0.5960430072045318,0.6516452529177152,0.36807511737089205,"[[66, 103, 21], [30, 481, 51], [18, 130, 165]]"
combined_data_weighted_lvl_one_128D,SVC ovo,0.6863849765258216,0.5752943009234798,0.6863849765258216,0.6014260786602895,0.6610015331194287,0.3323943661971831,"[[55, 120, 15], [14, 511, 37], [5, 143, 165]]"
combined_data_weighted_lvl_one_64D,LogisticRegression CV = 5,0.6582159624413145,0.5633437196620763,0.6582159624413145,0.5840805834435212,0.6395265461093135,0.3624413145539906,"[[58, 118, 14], [28, 473, 61], [8, 135, 170]]"
combined_data_weighted_lvl_one_64D,LogisticRegression CV = 10,0.6638497652582159,0.5666848582007815,0.6638497652582159,0.5898282508452,0.6440178425855198,0.3511737089201878,"[[57, 123, 10], [20, 478, 64], [6, 135, 172]]"
combined_data_weighted_lvl_one_64D,GradientBoostingClassifier,0.6610328638497652,0.569550563389019,0.6610328638497652,0.5880817368949137,0.6445491445309586,0.3671361502347418,"[[61, 111, 18], [37, 471, 54], [12, 129, 172]]"
combined_data_weighted_lvl_one_64D,SVC ovo,0.6995305164319249,0.5885706700209302,0.6995305164319249,0.6141814969318892,0.6747703661339359,0.32018779342723,"[[54, 120, 16], [12, 513, 37], [5, 130, 178]]"
corpus_2018_mixed_unweighted_1024D,LogisticRegression CV = 5,0.7276995305164319,0.6412781268145407,0.7276995305164319,0.659961937754525,0.7130658453518717,0.3023474178403756,"[[67, 98, 25], [24, 488, 50], [7, 86, 220]]"
corpus_2018_mixed_unweighted_1024D,LogisticRegression CV = 10,0.7295774647887324,0.6398875715319247,0.7295774647887324,0.6602693864665311,0.7140908943787598,0.2976525821596244,"[[66, 101, 23], [24, 494, 44], [6, 90, 217]]"
corpus_2018_mixed_unweighted_1024D,GradientBoostingClassifier,0.7220657276995305,0.6406946812302663,0.7220657276995305,0.65674360250592,0.7099193555094517,0.32018779342723,"[[72, 88, 30], [27, 483, 52], [15, 84, 214]]"
corpus_2018_mixed_unweighted_1024D,SVC ovo,0.7295774647887324,0.6368756159838957,0.7295774647887324,0.6548168416345924,0.7126338514302696,0.30704225352112674,"[[63, 97, 30], [20, 496, 46], [9, 86, 218]]"
corpus_2018_mixed_unweighted_128D,LogisticRegression CV = 5,0.7220657276995305,0.6344531898117037,0.7220657276995305,0.653512255506063,0.706747976879942,0.3051643192488263,"[[65, 101, 24], [24, 486, 52], [5, 90, 218]]"
corpus_2018_mixed_unweighted_128D,LogisticRegression CV = 10,0.7220657276995305,0.6335095039794978,0.7220657276995305,0.6533067895646267,0.7065813818620242,0.30422535211267604,"[[65, 102, 23], [24, 488, 50], [5, 92, 216]]"
corpus_2018_mixed_unweighted_128D,GradientBoostingClassifier,0.72018779342723,0.6355528002296281,0.72018779342723,0.6538324135906083,0.7064979143624147,0.3145539906103286,"[[69, 94, 27], [25, 485, 52], [10, 90, 213]]"
corpus_2018_mixed_unweighted_128D,SVC ovo,0.7361502347417841,0.642914826319719,0.7361502347417841,0.6628124769698449,0.718827840092603,0.29295774647887324,"[[63, 101, 26], [19, 499, 44], [5, 86, 222]]"
corpus_2018_mixed_unweighted_256D,LogisticRegression CV = 5,0.7333333333333333,0.6487924870559855,0.7333333333333333,0.6680005141711209,0.7198014993561779,0.29577464788732394,"[[70, 96, 24], [27, 490, 45], [7, 85, 221]]"
corpus_2018_mixed_unweighted_256D,LogisticRegression CV = 10,0.7305164319248826,0.64744828827039,0.7305164319248826,0.6673641615741732,0.7177488373478182,0.2976525821596244,"[[72, 96, 22], [28, 489, 45], [8, 88, 217]]"
corpus_2018_mixed_unweighted_256D,GradientBoostingClassifier,0.72018779342723,0.6322498998169078,0.72018779342723,0.6506869924352879,0.70613839105557,0.3183098591549296,"[[69, 94, 27], [28, 492, 42], [14, 93, 206]]"
corpus_2018_mixed_unweighted_256D,SVC ovo,0.7352112676056338,0.6458055049736492,0.7352112676056338,0.6650954789131854,0.7195441111618508,0.29577464788732394,"[[66, 98, 26], [21, 495, 46], [7, 84, 222]]"
