Feature,Classifier,Accuracy,Balanced Accuracy score,F1 micro score,F1 macro score,F1 weighted score,MAE,Confusion matrix
corpus_2018_audience_overlap_sites_lvl_three_unweighted_64D,LogisticRegression CV = 5,0.7154929577464789,0.6069659812327995,0.7154929577464789,0.6269606668129468,0.6910897403021274,0.3117370892018779,"[[51, 114, 25], [12, 508, 42], [4, 106, 203]]"
corpus_2018_audience_overlap_sites_lvl_three_unweighted_64D,LogisticRegression CV = 10,0.7164319248826291,0.6103534762685254,0.7164319248826291,0.6305760531348671,0.6933419975152418,0.3117370892018779,"[[53, 111, 26], [14, 506, 42], [4, 105, 204]]"
corpus_2018_audience_overlap_sites_lvl_three_unweighted_64D,GradientBoostingClassifier,0.6957746478873239,0.6005710585857159,0.6957746478873239,0.6133377536583962,0.6778166817848749,0.3464788732394366,"[[55, 105, 30], [28, 480, 54], [15, 92, 206]]"
corpus_2018_audience_overlap_sites_lvl_three_unweighted_64D,SVC ovo,0.7183098591549296,0.6124834017211346,0.7183098591549296,0.6313953509032612,0.6952535103134533,0.3145539906103286,"[[53, 107, 30], [14, 506, 42], [5, 102, 206]]"
corpus_2018_referral_sites_lvl_three_unweighted_1024D,LogisticRegression CV = 5,0.6732394366197183,0.5715281546902742,0.6732394366197183,0.5877531206900479,0.652347179160497,0.36056338028169016,"[[52, 113, 25], [29, 483, 50], [11, 120, 182]]"
corpus_2018_referral_sites_lvl_three_unweighted_1024D,LogisticRegression CV = 10,0.6638497652582159,0.5660687995043605,0.6638497652582159,0.579851680536612,0.6444186255859032,0.3755868544600939,"[[52, 109, 29], [31, 472, 59], [13, 117, 183]]"
corpus_2018_referral_sites_lvl_three_unweighted_1024D,GradientBoostingClassifier,0.6882629107981221,0.6005420159610765,0.6882629107981221,0.6220828054815278,0.6736478397144152,0.3370892018779343,"[[68, 103, 19], [34, 481, 47], [8, 121, 184]]"
corpus_2018_referral_sites_lvl_three_unweighted_1024D,SVC ovo,0.6835680751173709,0.5687256610937141,0.6835680751173709,0.5901913192412374,0.6559498844543638,0.3314553990610329,"[[46, 130, 14], [16, 505, 41], [2, 134, 177]]"
corpus_2018_referral_sites_lvl_three_unweighted_128D,LogisticRegression CV = 5,0.6666666666666666,0.5528959147040454,0.6666666666666666,0.5715517312431487,0.6386337973608947,0.3511737089201878,"[[44, 132, 14], [16, 495, 51], [5, 137, 171]]"
corpus_2018_referral_sites_lvl_three_unweighted_128D,LogisticRegression CV = 10,0.6666666666666666,0.5696254837860971,0.6666666666666666,0.5903411367303656,0.6474830939685182,0.3568075117370892,"[[58, 115, 17], [29, 480, 53], [8, 133, 172]]"
corpus_2018_referral_sites_lvl_three_unweighted_128D,GradientBoostingClassifier,0.6647887323943662,0.5696371925914977,0.6647887323943662,0.5867243895950002,0.6469124914825918,0.3671361502347418,"[[57, 111, 22], [35, 474, 53], [12, 124, 177]]"
corpus_2018_referral_sites_lvl_three_unweighted_128D,SVC ovo,0.6807511737089202,0.564151926437585,0.6807511737089202,0.5847369134024233,0.6519497447706009,0.3333333333333333,"[[44, 133, 13], [15, 505, 42], [2, 135, 176]]"
corpus_2018_referral_sites_lvl_three_unweighted_256D,LogisticRegression CV = 5,0.6666666666666666,0.5715128554505088,0.6666666666666666,0.5911083045662485,0.6492627396384144,0.35492957746478876,"[[58, 117, 15], [40, 476, 46], [8, 129, 176]]"
